23.4; 565613; 437027; -0.052539; -0.0522358; -0.0588156; -0.0584803; -0.067773
23.6; 557561; 439136; -0.0627687; -0.0624783; -0.0693089; -0.0690451; -0.0787699
23.8; 548973; 440105; -0.0734951; -0.0733288; -0.0802927; -0.0800675; -0.0901179
24; 539934; 439694; -0.0847085; -0.0844643; -0.0916235; -0.0913919; -0.101684
24.2; 531044; 439383; -0.0961113; -0.0958939; -0.103118; -0.102915; -0.113347
24.4; 522821; 439368; -0.107637; -0.107437; -0.11467; -0.114468; -0.12493
24.6; 515372; 440357; -0.119174; -0.11895; -0.126119; -0.125909; -0.136249
24.8; 508593; 442164; -0.130552; -0.130328; -0.137303; -0.137081; -0.147099
25; 502788; 443677; -0.141639; -0.141399; -0.148062; -0.147829; -0.15732
25.2; 497623; 445053; -0.15225; -0.151965; -0.158242; -0.157968; -0.166778
25.4; 493194; 446820; -0.162187; -0.161884; -0.167679; -0.167382; -0.175387
25.6; 489717; 448879; -0.171329; -0.170972; -0.17627; -0.175924; -0.183057
25.8; 487188; 450135; -0.179518; -0.179125; -0.183878; -0.183495; -0.189708
26; 486037; 450368; -0.186689; -0.186244; -0.190432; -0.189993; -0.195232
26.2; 486072; 450780; -0.192768; -0.19226; -0.19584; -0.195342; -0.19953
26.4; 486985; 451527; -0.197684; -0.19712; -0.200031; -0.199472; -0.202512
26.6; 488779; 452691; -0.201381; -0.200735; -0.202949; -0.202304; -0.204118
26.8; 491520; 454210; -0.203776; -0.203058; -0.204529; -0.203812; -0.204341
27; 494792; 455762; -0.204834; -0.204036; -0.204772; -0.203973; -0.203219
27.2; 498481; 457268; -0.204515; -0.203646; -0.203659; -0.202786; -0.200782
27.4; 503148; 458287; -0.202825; -0.201876; -0.201195; -0.200242; -0.197023
27.6; 508491; 458770; -0.199788; -0.198772; -0.197403; -0.196382; -0.191973
27.8; 513559; 458852; -0.195464; -0.194371; -0.192351; -0.191253; -0.185704
28; 518635; 459090; -0.189899; -0.188743; -0.18611; -0.184948; -0.178333
28.2; 524320; 459229; -0.183192; -0.181973; -0.178793; -0.177567; -0.169999
28.4; 530364; 458511; -0.17545; -0.174174; -0.170511; -0.169228; -0.160819
28.6; 536769; 457406; -0.166784; -0.165458; -0.161377; -0.160044; -0.150906
28.8; 544033; 456461; -0.157305; -0.155935; -0.151498; -0.150122; -0.140363
29; 551957; 455594; -0.147129; -0.145723; -0.140993; -0.139582; -0.129311
29.2; 559960; 454545; -0.136366; -0.134971; -0.129971; -0.128591; -0.117907
29.4; 567566; 453030; -0.125171; -0.123804; -0.118638; -0.117243; -0.106314
29.6; 574902; 450171; -0.113737; -0.112326; -0.107137; -0.105711; -0.0947002
29.8; 582539; 447293; -0.102163; -0.100752; -0.0955968; -0.0941891; -0.0832452
30; 590612; 445502; -0.0906349; -0.089226; -0.0842231; -0.0827991; -0.0721033
30.2; 598924; 443884; -0.0793268; -0.0779259; -0.0731527; -0.0717398; -0.0614325
30.4; 606866; 441861; -0.0683951; -0.0670201; -0.0625359; -0.0611576; -0.0513555
30.6; 613690; 440085; -0.0579787; -0.0566279; -0.0525129; -0.0511467; -0.0419687
30.8; 619318; 438718; -0.0482006; -0.0468886; -0.0431859; -0.0418603; -0.0333959
31; 623774; 437505; -0.0391928; -0.0379053; -0.0346894; -0.0333929; -0.0257457
31.2; 626878; 436109; -0.0310407; -0.0298124; -0.0271174; -0.0258703; -0.0191279
31.4; 628185; 434644; -0.0238803; -0.0226978; -0.0205907; -0.0193953; -0.0136588
31.6; 628051; 432643; -0.0177911; -0.0166731; -0.0151933; -0.0140617; -0.00941072
31.8; 626649; 430744; -0.0128571; -0.0118251; -0.0109938; -0.00994671; -0.00644376
32; 623748; 428833; -0.00917073; -0.00820053; -0.00806664; -0.00708952; -0.00478511
32.2; 619457; 427109; -0.00675655; -0.0058714; -0.00643122; -0.00553462; -0.00444796
32.4; 613999; 425905; -0.00566069; -0.00484813; -0.00611111; -0.00529019; -0.00542135
32.6; 607541; 424860; -0.00589343; -0.00514913; -0.00710822; -0.00636025; -0.00769447
32.8; 600671; 423875; -0.00744017; -0.00677369; -0.00940039; -0.00872812; -0.011226
33; 593281; 422800; -0.0102799; -0.00970027; -0.0129562; -0.0123739; -0.0159836
33.2; 585093; 421950; -0.0143926; -0.0138818; -0.0177711; -0.0172605; -0.0219703
33.4; 577118; 421464; -0.0197308; -0.0192929; -0.0238036; -0.0233651; -0.0291647
33.6; 569411; 420443; -0.0262438; -0.0258706; -0.0309723; -0.0305997; -0.0374328
33.8; 562140; 419243; -0.0338514; -0.0335271; -0.039186; -0.0388264; -0.0466021
34; 555370; 418876; -0.0424197; -0.0421524; -0.0482798; -0.0479265; -0.0565089
34.2; 548709; 419553; -0.0518263; -0.0516079; -0.0580975; -0.0577863; -0.0670045
34.4; 541302; 420585; -0.0620014; -0.0616952; -0.0685181; -0.0682704; -0.0779686
34.6; 533347; 421655; -0.072612; -0.0724939; -0.0794264; -0.0792523; -0.089311
34.8; 524829; 422048; -0.0838182; -0.0835661; -0.0907195; -0.0905698; -0.100876
35; 516019; 422747; -0.0952397; -0.095028; -0.102283; -0.102061; -0.112542
35.2; 507703; 423480; -0.106809; -0.106645; -0.113859; -0.113665; -0.124127
35.4; 500626; 424590; -0.118417; -0.118195; -0.125322; -0.125156; -0.135434
35.6; 494762; 425736; -0.129806; -0.129612; -0.13655; -0.136325; -0.146297
35.8; 489356; 427579; -0.14089; -0.140666; -0.147305; -0.147097; -0.156564
36; 484295; 429058; -0.151487; -0.151215; -0.157504; -0.157256; -0.166098
36.2; 479952; 430427; -0.161416; -0.161151; -0.166988; -0.166702; -0.174808
36.4; 476859; 432026; -0.170622; -0.170274; -0.175634; -0.175317; -0.182571
36.6; 474655; 433513; -0.178904; -0.178537; -0.183344; -0.182974; -0.189301
36.8; 473173; 434622; -0.186197; -0.185771; -0.189998; -0.189574; -0.194896
37; 473383; 435707; -0.192385; -0.191895; -0.195488; -0.195018; -0.199246
37.2; 474253; 436969; -0.197384; -0.196845; -0.199765; -0.199216; -0.202289
37.4; 475501; 438208; -0.20115; -0.200522; -0.202745; -0.202128; -0.203974
37.6; 477596; 439435; -0.203599; -0.202906; -0.204404; -0.203705; -0.204298
37.8; 480693; 440900; -0.204717; -0.203942; -0.204719; -0.203941; -0.203275
38; 484430; 442289; -0.204481; -0.203634; -0.203693; -0.202845; -0.200938
38.2; 488942; 443374; -0.202903; -0.201973; -0.20134; -0.200402; -0.19728
38.4; 494252; 443952; -0.199984; -0.198987; -0.197654; -0.196649; -0.192315
38.6; 499097; 444747; -0.195771; -0.194702; -0.192698; -0.191621; -0.186118
38.8; 503615; 445632; -0.190303; -0.189162; -0.186538; -0.185391; -0.178803
39; 508859; 446038; -0.183654; -0.182454; -0.179271; -0.178064; -0.170503
39.2; 514647; 445100; -0.175948; -0.174693; -0.171023; -0.16976; -0.161354
39.4; 520625; 443854; -0.167315; -0.166008; -0.161924; -0.160609; -0.151481
39.6; 527351; 442853; -0.157873; -0.156523; -0.152088; -0.15073; -0.140988
39.8; 535088; 442164; -0.147745; -0.146359; -0.141631; -0.140238; -0.129984
40; 542988; 441179; -0.137031; -0.13567; -0.130648; -0.129299; -0.118609
40.2; 550502; 439546; -0.125893; -0.124543; -0.119354; -0.117979; -0.107024
40.4; 557548; 437181; -0.114478; -0.113089; -0.107861; -0.106454; -0.0953953
40.6; 565023; 434897; -0.102903; -0.101512; -0.096307; -0.0949207; -0.0839094
40.8; 572822; 433082; -0.0913505; -0.089962; -0.0849046; -0.0835023; -0.0727332
41; 580878; 431317; -0.0800054; -0.0786213; -0.0737957; -0.0724014; -0.0620188
41.2; 588649; 429055; -0.0690322; -0.0676758; -0.0631393; -0.0617806; -0.051908
41.4; 595404; 426854; -0.058582; -0.0572493; -0.0530814; -0.0517357; -0.042485
41.6; 600942; 425722; -0.0487736; -0.0474743; -0.0437215; -0.0424101; -0.0338726
41.8; 605676; 424863; -0.0397181; -0.0384509; -0.0351694; -0.0338963; -0.0261588
42; 609119; 423679; -0.0315158; -0.0302968; -0.0275369; -0.0263044; -0.019462
42.2; 610666; 422255; -0.0242808; -0.0231125; -0.0209311; -0.0197484; -0.0138998
42.4; 610712; 420320; -0.0181111; -0.0170061; -0.015447; -0.0143323; -0.00956165
42.6; 609549; 418252; -0.0130852; -0.012068; -0.0111581; -0.0101263; -0.00650706
42.8; 606911; 416501; -0.00930795; -0.00834839; -0.0081429; -0.00717751; -0.0047652
43; 602947; 414942; -0.00680585; -0.00593003; -0.00642205; -0.00553861; -0.00434788
43.2; 598056; 413529; -0.00562264; -0.00482679; -0.00601802; -0.00521291; -0.00524275
43.4; 592248; 412400; -0.00577554; -0.00504508; -0.00693418; -0.00620173; -0.00743492
43.6; 585856; 411588; -0.0072409; -0.00658736; -0.00914653; -0.00848979; -0.010889
43.8; 579007; 410772; -0.00999196; -0.00942584; -0.0126179; -0.0120486; -0.0155665
44; 571181; 409847; -0.0140121; -0.013509; -0.0173407; -0.0168397; -0.0214619
44.2; 563348; 409309; -0.0192488; -0.0188227; -0.0232735; -0.0228488; -0.0285626
44.4; 555999; 408216; -0.0256733; -0.0253119; -0.030361; -0.0299999; -0.0367571
44.6; 549108; 407196; -0.0332074; -0.0328987; -0.0384882; -0.0381827; -0.0458738
44.8; 542623; 406692; -0.041726; -0.0414684; -0.0475123; -0.0472581; -0.0557441
45; 536387; 407564; -0.0510916; -0.0508866; -0.0573458; -0.0570339; -0.0662101
45.2; 529517; 408512; -0.0611696; -0.060991; -0.0677212; -0.0674919; -0.0771517
45.4; 522024; 409521; -0.0718743; -0.0716156; -0.0786246; -0.0784106; -0.0884548
45.6; 514231; 410136; -0.0829463; -0.0827477; -0.0899031; -0.0896856; -0.100015
45.8; 506112; 410890; -0.0943504; -0.094162; -0.101388; -0.101212; -0.11168
46; 498134; 411877; -0.105936; -0.105747; -0.112977; -0.112806; -0.123279
46.2; 491382; 412348; -0.117517; -0.117345; -0.124482; -0.124293; -0.13462
46.4; 485576; 413742; -0.128958; -0.128762; -0.135706; -0.135528; -0.145526
46.6; 480430; 415801; -0.140074; -0.139858; -0.14653; -0.146317; -0.155839
46.8; 475483; 417826; -0.150703; -0.150475; -0.156771; -0.156541; -0.165436
47; 471379; 419133; -0.160711; -0.16043; -0.166305; -0.166039; -0.174192
47.2; 468349; 420515; -0.16994; -0.169633; -0.175012; -0.174703; -0.182022
47.4; 466001; 422160; -0.178299; -0.177937; -0.182783; -0.182429; -0.188825
47.6; 464289; 423721; -0.185664; -0.185256; -0.189516; -0.189113; -0.194507
47.8; 463944; 424752; -0.191933; -0.191468; -0.195103; -0.194638; -0.198956
48; 465111; 425901; -0.197025; -0.196497; -0.199455; -0.198933; -0.202081
